18:23, Thursday, August 05, 2021
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X(mm)  ,Y(mm)  ,Z(mm)  ,URES(mm)
15355  ,-85.0343  ,-190.478  ,-8.5  ,3.21207e-01
15341  ,-51.5343  ,-190.478  ,0  ,3.21202e-01
15449  ,-42.7843  ,-190.478  ,2  ,3.21180e-01
13345  ,-181.78  ,-190.422  ,-38  ,3.21167e-01
14203  ,-172.932  ,-181.312  ,2  ,3.21151e-01
12590  ,-188.524  ,-188.456  ,-31.6667  ,3.21120e-01
15408  ,-140  ,-183.041  ,4  ,3.21112e-01
13329  ,-122.533  ,-192.387  ,-28.5  ,3.21064e-01
12325  ,-112.812  ,-188.456  ,-9.5  ,3.21053e-01
9096  ,-17.5  ,-192.5  ,0  ,3.21051e-01
15460  ,-8.74999  ,-192.5  ,2  ,3.21016e-01
9986  ,-143.643  ,-188.456  ,-19  ,3.20982e-01
9076  ,0  ,-192.5  ,4  ,3.20980e-01
13342  ,-148.784  ,-192.387  ,-38  ,3.20977e-01
9476  ,-87.53  ,-192.387  ,-19  ,3.20961e-01
15343  ,-52.5155  ,-192.387  ,-9.5  ,3.20959e-01
13124  ,-115.135  ,-190.422  ,-19  ,3.20946e-01
15347  ,-76.2843  ,-190.478  ,-8.5  ,3.20942e-01
15336  ,-42.7843  ,-190.478  ,0  ,3.20935e-01
15450  ,-34.201  ,-190.478  ,2  ,3.20918e-01
15549  ,-190.512  ,-181.675  ,-6.33333  ,3.20885e-01
13344  ,-172.804  ,-190.422  ,-38  ,3.20879e-01
14304  ,-164.182  ,-181.312  ,2  ,3.20875e-01
15415  ,-131.25  ,-183.041  ,4  ,3.20837e-01
12588  ,-179.547  ,-188.456  ,-31.6667  ,3.20834e-01
13331  ,-141.838  ,-190.422  ,-28.5  ,3.20808e-01
13322  ,-113.782  ,-192.387  ,-28.5  ,3.20785e-01
12329  ,-103.983  ,-188.456  ,-9.5  ,3.20777e-01
15335  ,-8.75  ,-192.5  ,0  ,3.20771e-01
13360  ,-192.538  ,-183.641  ,-15.8333  ,3.20755e-01
15468  ,4.76837e-06  ,-192.5  ,2  ,3.20733e-01
12587  ,-166.083  ,-188.456  ,-28.5  ,3.20718e-01
11248  ,-134.667  ,-188.456  ,-19  ,3.20695e-01
9442  ,-140.034  ,-192.387  ,-38  ,3.20695e-01
13143  ,-78.7794  ,-192.387  ,-19  ,3.20692e-01
15476  ,8.75  ,-192.5  ,4  ,3.20692e-01
15338  ,-43.7657  ,-192.387  ,-9.5  ,3.20692e-01
15337  ,-34.201  ,-190.478  ,0  ,3.20673e-01
13128  ,-106.385  ,-190.422  ,-19  ,3.20670e-01
13121  ,-137.35  ,-190.422  ,-28.5  ,3.20664e-01
15456  ,-25.451  ,-190.478  ,2  ,3.20645e-01
12308  ,-188.524  ,-179.48  ,0  ,3.20600e-01
13339  ,-164.053  ,-190.422  ,-38  ,3.20598e-01
14305  ,-155.353  ,-181.312  ,2  ,3.20596e-01
15416  ,-122.5  ,-183.041  ,4  ,3.20561e-01
9596  ,-188.524  ,-188.456  ,-38  ,3.20514e-01
13323  ,-105.031  ,-192.387  ,-28.5  ,3.20508e-01
12330  ,-91.3982  ,-188.456  ,-8.5  ,3.20502e-01
9097  ,0  ,-192.5  ,0  ,3.20488e-01
15404  ,-141.821  ,-182.031  ,2  ,3.20484e-01
15467  ,8.75  ,-192.5  ,2  ,3.20444e-01
12584  ,-157.107  ,-188.456  ,-28.5  ,3.20430e-01
9475  ,-70.0287  ,-192.387  ,-19  ,3.20426e-01
15339  ,-35.0151  ,-192.387  ,-9.5  ,3.20423e-01
13336  ,-131.283  ,-192.387  ,-38  ,3.20412e-01
9985  ,-125.69  ,-188.456  ,-19  ,3.20408e-01
15331  ,-25.451  ,-190.478  ,0  ,3.20400e-01
9075  ,17.5  ,-192.5  ,4  ,3.20399e-01
13132  ,-97.634  ,-190.422  ,-19  ,3.20396e-01
15457  ,-16.8676  ,-190.478  ,2  ,3.20375e-01
12312  ,-179.694  ,-179.48  ,0  ,3.20327e-01
13142  ,-60.2987  ,-190.422  ,-9.5  ,3.20318e-01
13338  ,-155.077  ,-190.422  ,-38  ,3.20309e-01
15423  ,-113.75  ,-183.041  ,4  ,3.20286e-01
9842  ,-50.5686  ,-188.456  ,0  ,3.20272e-01
13325  ,-124.111  ,-190.422  ,-28.5  ,3.20238e-01
13316  ,-96.2806  ,-192.387  ,-28.5  ,3.20232e-01
12333  ,-82.5686  ,-188.456  ,-8.5  ,3.20230e-01
12592  ,-179.547  ,-188.456  ,-38  ,3.20227e-01
15330  ,8.75  ,-192.5  ,0  ,3.20200e-01
13148  ,-61.2781  ,-192.387  ,-19  ,3.20160e-01
15475  ,17.5  ,-192.5  ,2  ,3.20151e-01
15333  ,-26.2653  ,-192.387  ,-9.5  ,3.20150e-01
12585  ,-148.131  ,-188.456  ,-28.5  ,3.20140e-01
15332  ,-16.8676  ,-190.478  ,0  ,3.20130e-01
9443  ,-122.533  ,-192.387  ,-38  ,3.20130e-01
11249  ,-116.714  ,-188.456  ,-19  ,3.20122e-01
13134  ,-85.0493  ,-190.422  ,-18  ,3.20114e-01
15484  ,26.25  ,-192.5  ,4  ,3.20101e-01
15463  ,-8.11762  ,-190.478  ,2  ,3.20096e-01
13126  ,-119.623  ,-190.422  ,-28.5  ,3.20094e-01
13353  ,-192.538  ,-183.641  ,-22.1667  ,3.20085e-01
13147  ,-51.548  ,-190.422  ,-9.5  ,3.20051e-01
13333  ,-146.326  ,-190.422  ,-38  ,3.20025e-01
15424  ,-105  ,-183.041  ,4  ,3.20012e-01
11677  ,-41.9852  ,-188.456  ,0  ,3.20010e-01
13317  ,-87.53  ,-192.387  ,-28.5  ,3.19958e-01
9597  ,-170.571  ,-188.456  ,-38  ,3.19939e-01
15412  ,-124.095  ,-182.031  ,2  ,3.19921e-01
14316  ,-137.773  ,-181.02  ,2  ,3.19912e-01
9098  ,17.5  ,-192.5  ,0  ,3.19907e-01
12311  ,-166.23  ,-179.48  ,0  ,3.19903e-01
9474  ,-52.5275  ,-192.387  ,-19  ,3.19893e-01
15334  ,-17.5147  ,-192.387  ,-9.5  ,3.19873e-01
12304  ,-188.524  ,-179.48  ,-6.33333  ,3.19866e-01
15474  ,26.25  ,-192.5  ,2  ,3.19854e-01
15326  ,-8.11762  ,-190.478  ,0  ,3.19851e-01
12581  ,-139.155  ,-188.456  ,-28.5  ,3.19850e-01
13330  ,-113.782  ,-192.387  ,-38  ,3.19849e-01
13141  ,-76.2987  ,-190.422  ,-18  ,3.19846e-01
9984  ,-107.738  ,-188.456  ,-19  ,3.19837e-01
12872  ,-190.531  ,-181.675  ,-15.8333  ,3.19832e-01
15464  ,0.46571  ,-190.478  ,2  ,3.19818e-01
9074  ,35  ,-192.5  ,4  ,3.19798e-01
13153  ,-42.7974  ,-190.422  ,-9.5  ,3.19784e-01
9841  ,-33.4019  ,-188.456  ,0  ,3.19747e-01
15430  ,-96.25  ,-183.041  ,4  ,3.19739e-01
13332  ,-137.35  ,-190.422  ,-38  ,3.19733e-01
13310  ,-78.7794  ,-192.387  ,-28.5  ,3.19688e-01
13319  ,-106.385  ,-190.422  ,-28.5  ,3.19672e-01
12589  ,-161.595  ,-188.456  ,-38  ,3.19649e-01
13156  ,-43.7768  ,-192.387  ,-19  ,3.19624e-01
12316  ,-157.4  ,-179.48  ,0  ,3.19622e-01
15324  ,26.25  ,-192.5  ,0  ,3.19609e-01
15328  ,-8.76487  ,-192.387  ,-9.5  ,3.19593e-01
15327  ,0.46571  ,-190.478  ,0  ,3.19573e-01
9444  ,-105.031  ,-192.387  ,-38  ,3.19568e-01
12317  ,-148.424  ,-180.009  ,0  ,3.19567e-01
12582  ,-130.178  ,-188.456  ,-28.5  ,3.19559e-01
15483  ,35  ,-192.5  ,2  ,3.19551e-01
11298  ,-95.1533  ,-188.456  ,-18  ,3.19549e-01
15470  ,9.21571  ,-190.478  ,2  ,3.19530e-01
13130  ,-101.897  ,-190.422  ,-28.5  ,3.19529e-01
13154  ,-34.2141  ,-190.422  ,-9.5  ,3.19519e-01
15490  ,43.75  ,-192.5  ,4  ,3.19490e-01
11682  ,-24.8186  ,-188.456  ,0  ,3.19480e-01
15431  ,-87.5  ,-183.041  ,4  ,3.19472e-01
